站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20251226160400,11.0,1018.6,46,65,9.7,1.5,10408.5
58102,20251226160400,11.3,1012.1,82,256,7.1,1.2,10160.9
58118,20251226160400,9.1,1015.7,56,210,10.9,0.8,10170.7
58122,20251226160400,25.9,1019.2,7,130,3.2,0.7,10002.8
58203,20251226160400,34.5,1019.6,37,16,8.9,1.0,10257.2
58215,20251226160400,28.9,1014.9,65,42,3.2,1.0,10453.6
58221,20251226160400,5.6,1008.2,29,147,0.1,1.2,10175.6
58225,20251226160400,21.0,1006.5,24,242,0.3,1.1,10180.6
58236,20251226160400,18.7,1012.4,58,232,4.6,1.0,10496.2
58311,20251226160400,28.5,1023.8,24,36,8.2,0.3,10157.6
58314,20251226160400,31.5,1024.6,45,143,0.5,0.2,10182.3
58319,20251226160400,20.6,1004.6,90,289,8.9,0.6,10332.4
58321,20251226160400,34.4,1000.0,41,81,6.9,0.0,10263.6
58326,20251226160400,1.5,1006.0,59,63,11.8,0.3,10487.2
58336,20251226160400,10.3,1023.8,53,150,2.6,1.2,10163.1
58338,20251226160400,13.2,1006.2,65,8,10.1,0.7,10196.8
58414,20251226160400,14.0,1012.6,62,244,6.6,0.3,10182.3
58419,20251226160400,8.8,1008.4,67,213,2.1,0.0,10120.1
58424,20251226160400,24.2,1002.4,22,25,9.9,1.0,10413.0
58429,20251226160400,7.5,1020.7,73,127,9.9,0.3,10278.6
58436,20251226160400,5.0,1000.8,50,82,8.6,0.6,10445.7
58437,20251226160400,25.5,1009.8,59,153,13.3,1.0,10008.5
58520,20251226160400,15.4,1025.0,50,46,8.6,1.1,10045.0
58531,20251226160400,8.7,1011.6,76,33,14.8,0.2,10138.2
54406,20251226160400,5.0,1018.3,89,12,2.3,1.0,10378.5
54416,20251226160400,6.1,1004.3,80,336,5.1,0.1,10300.4
54511,20251226160400,23.6,1015.7,45,1,11.9,1.1,10160.8
58725,20251226160400,5.8,1008.0,87,285,12.1,1.3,10329.2
58730,20251226160400,17.2,1011.8,62,82,1.8,1.5,10204.1
58731,20251226160400,14.1,1012.2,67,224,12.7,1.1,10478.5
58734,20251226160400,32.9,1000.2,23,137,5.9,1.0,10345.6
58737,20251226160400,18.0,1016.5,100,248,13.7,0.9,10369.3
58744,20251226160400,10.9,1004.8,39,303,9.8,1.1,10491.5
58754,20251226160400,16.6,1017.2,33,59,7.6,1.3,10467.0
58818,20251226160400,10.4,1026.1,82,233,5.8,1.5,10299.3
58820,20251226160400,1.9,1006.8,12,279,3.5,0.7,10382.2
58834,20251226160400,22.3,1003.1,51,154,2.6,1.0,10483.1
58837,20251226160400,2.5,1007.5,45,241,13.9,0.1,10280.6
58843,20251226160400,31.5,1021.1,50,179,0.4,0.6,10217.4
58846,20251226160400,11.2,1002.5,18,21,14.5,0.4,10264.1
58847,20251226160400,28.1,1021.3,42,226,3.1,1.1,10185.9
58911,20251226160400,15.7,1005.5,22,174,1.7,0.7,10278.9
58918,20251226160400,10.6,1022.0,20,274,14.9,0.6,10493.6
